episode,goal,reward,steps,final_error,success
1,-0.8,10.980776297867488,23,1.8623284628427328e-05,1.0
2,-0.8,10.980776297867488,23,1.8623284628427328e-05,1.0
3,-0.8,10.980776297867488,23,1.8623284628427328e-05,1.0
4,-0.8,10.980776297867488,23,1.8623284628427328e-05,1.0
5,-0.8,10.980776297867488,23,1.8623284628427328e-05,1.0
6,-0.4,15.441536176903174,18,0.004319271091964061,1.0
7,-0.4,15.441536176903174,18,0.004319271091964061,1.0
8,-0.4,15.441536176903174,18,0.004319271091964061,1.0
9,-0.4,15.441536176903174,18,0.004319271091964061,1.0
10,-0.4,15.441536176903174,18,0.004319271091964061,1.0
11,0.4,15.35730690639466,16,0.00972370687674401,1.0
12,0.4,15.35730690639466,16,0.00972370687674401,1.0
13,0.4,15.35730690639466,16,0.00972370687674401,1.0
14,0.4,15.35730690639466,16,0.00972370687674401,1.0
15,0.4,15.35730690639466,16,0.00972370687674401,1.0
16,0.8,10.86939089128282,22,0.0024168229755233694,1.0
17,0.8,10.86939089128282,22,0.0024168229755233694,1.0
18,0.8,10.86939089128282,22,0.0024168229755233694,1.0
19,0.8,10.86939089128282,22,0.0024168229755233694,1.0
20,0.8,10.86939089128282,22,0.0024168229755233694,1.0
