episode,reward,success,length,final_error,epsilon,avg_loss,wall_clock_time
1,-167.3147630095482,0.0,150,1.4423299671924124,0.985,0.0,0.21404623985290527
2,-47.518175057508046,0.0,150,0.08925665736692412,0.970225,0.0,0.4282841682434082
3,-71.7227274775505,0.0,150,0.2908397656733094,0.955671625,0.0,0.6417901515960693
4,-181.97442519664764,0.0,150,1.6863286939792415,0.941336550625,0.11593041175257156,1.4463520050048828
5,-223.9403781890869,0.0,150,1.4981671048231324,0.927216502365625,0.01974728242494166,2.483067035675049
6,20.412866893224418,1.0,46,0.03866077625644843,0.9133082548301407,0.06857529885904945,2.8119890689849854
7,-93.56177544146776,0.0,150,0.7820488903485897,0.8996086310076885,0.0391187090985477,3.8381690979003906
8,-179.16094663739204,0.0,150,0.3991460266860758,0.8861145015425732,0.0477186272572726,4.900567054748535
9,-190.3317294716835,0.0,150,1.0158546541863724,0.8728227840194346,0.022159897352879245,5.935193061828613
10,-185.2884223461151,0.0,150,1.161052783341971,0.8597304422591431,0.04659061645468076,6.9765801429748535
11,-48.97082181787117,0.0,150,0.43278737703503395,0.8468344856252559,0.03574840108553568,8.020305156707764
12,-30.134925829526043,0.0,150,0.12687310767856824,0.834131968340877,0.029721440356224774,9.019556045532227
13,-241.47886222600937,0.0,150,1.9257901888328441,0.8216199888157638,0.04020433012396097,10.047331094741821
14,-229.16862165927887,0.0,150,1.157056702399882,0.8092956889835273,0.022240690930436055,11.063727140426636
15,-146.3519030213356,0.0,150,1.7369039700267508,0.7971562536487744,0.038751405365765094,12.062526941299438
16,-64.4604347937042,0.0,150,0.3617586000570255,0.7851989098440427,0.037024925307681165,13.12524700164795
17,-124.82863920927048,0.0,150,0.609146386978592,0.773420926196382,0.027367745159814754,14.170867204666138
18,-52.960851297155024,0.0,150,0.6498222214278468,0.7618196123034363,0.03341237534458438,15.182951211929321
19,-55.83892668560147,0.0,150,0.5668750731625094,0.7503923181188847,0.024163080255190532,16.24587321281433
20,-155.953930914402,0.0,150,0.5751256180265438,0.7391364333471014,0.03126136068254709,17.290251970291138
21,-135.36216390132904,0.0,150,1.2442223242911894,0.7280493868468949,0.02984258561084668,18.342846870422363
22,-130.00495666265488,0.0,150,0.629966942700557,0.7171286460441915,0.02212684206975003,19.419650077819824
23,2.328334901295598,1.0,93,0.03808866658598842,0.7063717163535286,0.03370935742252616,20.06164288520813
24,-111.8901614844799,0.0,150,0.7306483166202493,0.6957761406082257,0.024059444771458705,21.130104064941406
25,-38.438231498003006,0.0,150,0.20878878362889158,0.6853394984991023,0.025383182211468618,22.17452311515808
26,12.824191705096744,1.0,74,0.0005338731573809041,0.6750594060216157,0.020151771063840872,22.69681715965271
27,1.0798471044050473,1.0,129,0.035813634237660597,0.6649335149312915,0.02353182653788217,23.585384130477905
28,17.52659925362095,1.0,8,0.032217040918829896,0.6549595122073221,0.03113359573762864,23.644029140472412
29,27.6718644821085,1.0,55,0.023484105803787292,0.6451351195242122,0.025793982144783845,24.054883003234863
30,-49.047901977878055,0.0,150,0.017257399798261464,0.635458092731349,0.028735084955890975,25.10294508934021
31,14.872066658735275,1.0,29,0.013535129094287057,0.6259262213403788,0.04260004568716575,25.309630870819092
32,-75.9491934813559,0.0,150,0.4046836607008085,0.6165373280202731,0.027226090617477893,26.358346939086914
33,29.124767327684225,1.0,86,0.027967010278970028,0.607289268099969,0.02487130871389148,26.962584972381592
34,-27.038418918723625,0.0,150,0.14055495233796034,0.5981799290784694,0.03202793370311459,28.026429176330566
35,3.070486761949713,1.0,120,0.03132807132503301,0.5892072301422924,0.028949052716294926,28.89258098602295
36,17.244672247604466,1.0,12,0.0014786085938657267,0.580369121690158,0.02914301243921121,28.97241711616516
37,-27.170354687538918,1.0,67,0.0017112790712197068,0.5716635848648056,0.029340863200043563,29.434614896774292
38,-6.468754208041361,1.0,48,0.01751080498914892,0.5630886310918335,0.036727794931114964,29.760451078414917
39,17.240110666677356,1.0,12,0.030363980367467125,0.554642301625456,0.032438498766471945,29.847678184509277
40,-9.196713334415097,1.0,134,0.026870115909263692,0.5463226671010741,0.034807744498517534,30.842939138412476
41,10.8337831328623,1.0,63,0.004757893448162354,0.538127827094558,0.03655361798074511,31.276658058166504
42,7.962803581368644,1.0,30,0.00021927797770393553,0.5300559096881396,0.04556839320187767,31.49589490890503
43,7.107172895409165,1.0,69,0.02851898795355501,0.5221050710428176,0.04150626727420351,32.01467323303223
44,10.511267604678869,1.0,28,0.00583444843267944,0.5142734949771753,0.031867890718526075,32.22239899635315
45,2.7612878888263377,0.0,150,0.04655095716840485,0.5065593925525177,0.04460976472745339,33.27329707145691
46,11.924213527626126,1.0,31,0.034713539797530224,0.4989610016642299,0.043740016378221974,33.50011205673218
47,12.234071096079424,1.0,27,0.03412986340167917,0.49147658663926647,0.0326326135545969,33.6983962059021
48,17.57986323609948,1.0,8,0.010813340106532416,0.48410443783967744,0.038122478406876326,33.75567889213562
49,-1.476136968750507,0.0,150,0.017347414886406926,0.47684287127208225,0.045206445219616094,34.80478620529175
50,16.703347620368003,1.0,36,0.018437092535411814,0.469690228203001,0.047336287486056484,35.077292919158936
51,-11.278878652257855,1.0,130,0.015186596127118035,0.462644874779956,0.045504799886391716,36.01716494560242
52,11.967261353833598,0.0,150,0.05712222211182538,0.4557052016582566,0.04994714919477701,37.09678411483765
53,14.748962726490571,1.0,21,0.020004604716303553,0.4488696236333828,0.04427311924241838,37.24358105659485
54,4.069696653721616,1.0,44,0.01997319621406446,0.44213657927888206,0.046454769326373935,37.55577206611633
55,1.6970011564175316,1.0,38,0.008048942838903339,0.43550453058969885,0.06170228015827505,37.82645106315613
56,-1.75436604479329,1.0,75,0.02379428968993924,0.42897196263085335,0.052425697123010956,38.39541506767273
57,26.05742346793413,1.0,49,0.008425920377694851,0.42253738319139056,0.061103333700068145,38.74160623550415
58,4.9862971247523005,1.0,66,0.0008736050802324868,0.4161993224435197,0.05154746547905785,39.2042601108551
59,-9.096759410947566,1.0,46,0.035284415187065044,0.4099563326068669,0.05469544547731462,39.54107999801636
60,10.991425203159453,1.0,138,0.035869145798459345,0.4038069876177639,0.04609825579530519,40.563512086868286
61,16.745068929716943,1.0,17,0.022331988237177497,0.39774988280349743,0.05710651933708612,40.68271613121033
62,2.289051769801876,1.0,33,0.02088017865114722,0.391783634561445,0.05384063935189536,40.91878008842468
63,12.42134776697494,1.0,21,0.0300168936886831,0.3859068800430233,0.040101485504280956,41.076510190963745
